dataset;baseline;FAA;LA;Diffusion;TTSGAN;ASCENSION;VaDE;FCNemb;ImagenTime;Diffusion-TS;KoVAE
ACSF1;0.87;0.65;0.87;0.7985611510791367;0.84;0.83;0.81;0.87;0.84;0.7621616202219429;0.18
Adiac;0.7519181585677749;0.1764705882352941;0.7365728900255755;0.5913461538461539;0.7595907928388747;0.7647058823529411;0.6061381074168798;0.7723785166240409;0.7084398976982097;0.6097272676641327;0.0741687979539642
ArrowHead;0.7942857142857143;0.56;0.84;0.542319749216301;0.7942857142857143;0.7828571428571428;0.8;0.84;0.76;0.6703436212383156;0.6114285714285714
BME;0.6733333333333333;0.5133333333333333;0.6866666666666666;0.2953586497890295;0.7066666666666667;0.68;0.5933333333333334;0.7266666666666667;0.6866666666666666;0.6110612721111963;0.4933333333333333
Beef;0.7;0.3666666666666666;0.7;0.7523333333333333;0.6625974025974026;0.9000000357627869;0.6333333333333333;0.7;0.6666666666666666;0.7156979475839842;0.3
BeetleFly;0.9;0.8;0.9;1.0;0.9;0.9;0.95;0.9;0.95;0.5484354266639617;0.85
BirdChicken;0.75;0.9;0.75;0.6;0.95;0.8;1.0;0.95;0.75;0.5452587376358822;0.5
CBF;0.9766666666666668;0.9866666666666668;0.9677777777777776;0.6688311688311688;0.98;0.9733333333333334;0.9277777777777778;0.9677777777777776;0.9611111111111112;0.9980882974481584;0.8555555555555555
Car;0.5166666666666667;0.5;0.5666666666666667;0.9904761904761904;0.5833333333333334;0.5666666666666667;0.6166666666666667;0.6333333333333333;0.65;0.5322938262759135;0.35
ChlorineConcentration;0.8049479166666667;0.55546875;0.8013020833333333;0.7314285714285714;0.8080729166666667;0.80625;0.8028645833333333;0.8013020833333333;0.7986979166666667;0.6926289799094009;0.5338541666666666
CinCECGTorso;0.8188405797101449;0.6456521739130435;0.7731884057971015;0.9201331114808652;0.6492753623188405;0.8231884057971014;0.7159420289855073;0.7963768115942029;0.7326086956521739;0.436174336639857;0.5130434782608696
Coffee;0.8214285714285714;1.0;0.8214285714285714;0.7075606276747504;0.8571428571428571;0.8571428571428571;0.8214285714285714;0.9285714285714286;0.75;0.7584029570351024;0.8571428571428571
Computers;0.736;0.724;0.684;0.8263403263403264;0.752;0.835;0.7;0.684;0.704;0.7319725479525064;0.5
