dataset,accuracy_mean_baseline,accuracy_mean_augmented
ACSF1,0.89,0.75
Adiac,0.6112531969309463,0.7416879795396419
BeetleFly,0.75,0.8
ArrowHead,0.84,0.6685714285714286
Beef,0.7,0.6
BirdChicken,0.65,0.9
BME,0.74,0.6466666666666666
CBF,0.8455555555555555,0.9922222222222222
Car,0.9166666666666666,0.5666666666666667
Chinatown,0.9883381924198252,0.979591836734694
ChlorineConcentration,0.571875,0.5640625
CinCECGTorso,0.813768115942029,0.5673913043478261
Coffee,1.0,1.0
Computers,0.796,0.78
Crop,0.7313690476190476,0.7097023809523809
DiatomSizeReduction,0.9477124183006536,0.9019607843137256
DistalPhalanxOutlineCorrect,0.7898550724637681,0.7608695652173914
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.7553956834532374
DistalPhalanxTW,0.6618705035971223,0.6906474820143885
Earthquakes,0.7482014388489209,0.7482014388489209
ECG5000,0.9366666666666666,0.9311111111111112
ECGFiveDays,0.9802555168408827,0.9535423925667827
ECG200,0.9,0.88
ElectricDevices,0.7297367397224744,0.6415510309946829
EOGHorizontalSignal,0.2983425414364641,0.3729281767955801
EthanolLevel,0.308,0.35
FaceAll,0.9053254437869822,0.806508875739645
FaceFour,0.8977272727272727,0.7954545454545454
EOGVerticalSignal,0.1657458563535911,0.2154696132596685
FiftyWords,0.3208791208791209,0.2989010989010989
FacesUCR,0.935609756097561,0.855609756097561
FordA,0.9212121212121211,0.8984848484848484
Fish,0.9657142857142856,0.8571428571428571
FordB,0.774074074074074,0.7679012345679013
FreezerSmallTrain,0.7712280701754386,0.7905263157894736
FreezerRegularTrain,0.9940350877192984,0.8894736842105263
GunPoint,0.9933333333333332,0.98
GunPointAgeSpan,0.9683544303797468,0.9462025316455696
GunPointMaleVersusFemale,0.9968354430379748,0.9936708860759492
Ham,0.7523809523809524,0.7142857142857143
HandOutlines,0.6594594594594595,0.6810810810810811
Haptics,0.5,0.3051948051948052
GunPointOldVersusYoung,1.0,1.0
HouseTwenty,0.957983193277311,0.9327731092436976
Herring,0.65625,0.59375
InsectEPGSmallTrain,0.8313253012048193,1.0
InsectEPGRegularTrain,1.0,1.0
InsectWingbeatSound,0.4222222222222222,0.4005050505050505
InlineSkate,0.2436363636363636,0.1818181818181818
ItalyPowerDemand,0.9601554907677357,0.957240038872692
LargeKitchenAppliances,0.88,0.8666666666666667
Lightning7,0.8493150684931506,0.547945205479452
Lightning2,0.7540983606557377,0.639344262295082
Mallat,0.9705756929637528,0.7309168443496802
Meat,0.9333333333333332,0.35
MedicalImages,0.7342105263157894,0.6157894736842106
MiddlePhalanxOutlineAgeGroup,0.6038961038961039,0.6623376623376623
MiddlePhalanxOutlineCorrect,0.7594501718213058,0.7938144329896907
MiddlePhalanxTW,0.5844155844155844,0.6038961038961039
MixedShapesRegularTrain,0.9022680412371132,0.9369072164948452
MixedShapesSmallTrain,0.8828865979381443,0.8296907216494845
MoteStrain,0.9321086261980832,0.8809904153354633
NonInvasiveFetalECGThorax1,0.751145038167939,0.6239185750636133
NonInvasiveFetalECGThorax2,0.7267175572519083,0.4615776081424936
OliveOil,0.8333333333333334,0.4
OSULeaf,0.975206611570248,0.6983471074380165
PhalangesOutlinesCorrect,0.7750582750582751,0.8111888111888111
Phoneme,0.3138185654008439,0.2373417721518987
Plane,1.0,1.0
PowerCons,0.8666666666666667,0.9055555555555556
ProximalPhalanxOutlineAgeGroup,0.8439024390243902,0.8439024390243902
ProximalPhalanxOutlineCorrect,0.872852233676976,0.8694158075601375
RefrigerationDevices,0.544,0.5386666666666666
ProximalPhalanxTW,0.7804878048780488,0.7951219512195122
Rock,0.64,0.4
ScreenType,0.6106666666666667,0.568
SemgHandGenderCh2,0.74,0.7633333333333333
SemgHandMovementCh2,0.3733333333333333,0.4866666666666667
SemgHandSubjectCh2,0.5,0.5622222222222222
ShapeletSim,0.8,0.9055555555555556
ShapesAll,0.6333333333333333,0.5816666666666667
SmallKitchenAppliances,0.8186666666666667,0.8293333333333334
SmoothSubspace,1.0,0.9666666666666668
SonyAIBORobotSurface1,0.9800332778702164,0.9201331114808652
SonyAIBORobotSurface2,0.9653725078698846,0.924449108079748
StarLightCurves,0.955560951918407,0.9521612433220008
Strawberry,0.9567567567567568,0.9324324324324323
SwedishLeaf,0.9072,0.9184
Symbols,0.9185929648241206,0.9085427135678392
SyntheticControl,0.9933333333333332,0.98
ToeSegmentation1,0.9649122807017544,0.9605263157894736
ToeSegmentation2,0.9230769230769232,0.8538461538461538
Trace,1.0,1.0
TwoLeadECG,1.0,1.0
TwoPatterns,0.90225,0.8925
UMD,0.9930555555555556,0.9930555555555556
UWaveGestureLibraryAll,0.6795086543830262,0.6415410385259631
UWaveGestureLibraryX,0.7141261864879955,0.6993299832495813
UWaveGestureLibraryY,0.5988274706867671,0.5388051367950866
UWaveGestureLibraryZ,0.6384701284198772,0.6334450027917364
Wafer,0.9926995457495134,0.9941596365996106
Wine,0.7037037037037037,0.7222222222222222
Worms,0.6883116883116883,0.6623376623376623
WordSynonyms,0.396551724137931,0.329153605015674
WormsTwoClass,0.7662337662337663,0.7792207792207793
Yoga,0.73,0.6786666666666666
