dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
FordB,2,3636,810,0.7086420059204102,0.7085282475710688,0.782716049382716,0.7813574003121896,0.7839506172839507,0.783810605927547,0.6987654566764832,0.6980290297937357,0.7753086419753087,0.7744552062133736,0.7111111283302307,0.7108131530124011,0.7728395061728395,0.7719766919959382,0.7123457193374634,0.7116772765395774,0.7765432098765432,0.775437369137165,0.7086420059204102,0.7059149313247675,0.7839506172839507,0.7835519176130354,0.7135802507400513,0.7122046544679339,0.7753086419753087,0.7750824481418813,7972.845149755478
FreezerRegularTrain,2,150,2850,0.9852631688117981,0.9852608061563286,0.9859649122807017,0.9859640759141574,0.9936842105263158,0.9936842105263158,0.9687719941139221,0.9687654656506937,0.9957894736842106,0.995789471610697,0.9628070592880249,0.9627936603648659,0.9929824561403509,0.9929824250375255,0.9617544412612915,0.9617448486695668,0.9929824561403509,0.9929824250375255,0.9554386138916016,0.9553803176102835,0.9912280701754386,0.9912279826982577,0.9761403799057007,0.9761317821208575,0.992280701754386,0.9922805154793517,1059.6115624904633
FreezerSmallTrain,2,28,2850,0.8038596510887146,0.8009427155079512,0.8203508771929825,0.8203040644383319,0.7898245614035088,0.7879068845190474,0.7708772420883179,0.7698865080084392,0.8070175438596491,0.80691399413462,0.7649123072624207,0.7635287089398161,0.8014035087719298,0.8014026285619733,0.7729824781417847,0.7726855550697118,0.8108771929824561,0.8105009010813841,0.7821052670478821,0.7812994164648046,0.7940350877192982,0.7940239045296272,0.7712280750274658,0.7698567022949926,0.8031578947368421,0.8029296109214109,457.3856632709503
"Found array with 1 sample(s) (shape=(1, 50)) while a minimum of 2 is required by GaussianMixture."
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
"Input X contains NaN.
GaussianMixture does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
GunPoint,2,50,150,0.9666666984558105,0.9666533279978657,0.9933333333333333,0.993333629642799,0.9933333333333333,0.993333629642799,0.9466667175292969,0.9466666666666667,0.9866666666666667,0.9866666666666667,0.9466667175292969,0.9466287137520014,0.9733333333333334,0.9733333333333334,0.9333333373069763,0.9332858921900018,0.9866666666666667,0.9866666666666667,0.9333333373069763,0.9333214793741109,0.9866666666666667,0.9866666666666667,0.9266666769981384,0.9265850945494994,0.98,0.9800008889283968,412.1280417442322
GunPointAgeSpan,2,135,316,0.9778481125831604,0.9778478794251665,0.9936708860759493,0.9936708860759493,0.9810126582278481,0.9810134188472357,0.9272152185440063,0.9268275494075127,0.9841772151898734,0.9841776905627083,0.9145569801330566,0.914453301248308,0.9873417721518988,0.9873422792314905,0.9430379867553711,0.9429557124518613,0.9873417721518988,0.9873402504254493,0.9145569801330566,0.9139285966487436,0.9873417721518988,0.9873402504254493,0.9050633311271667,0.904312015503876,0.9841772151898734,0.9841764227113442,1022.5221924781799
GunPointMaleVersusFemale,2,135,316,1.0,1.0,0.9968354430379747,0.9968359194795887,0.9968354430379747,0.9968349027237305,1.0,1.0,0.9968354430379747,0.9968349027237305,1.0,1.0,0.990506329113924,0.990500890255283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,668.0302865505219
GunPointOldVersusYoung,2,136,315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,376.0184397697449
Ham,2,109,105,0.723809540271759,0.722904722904723,0.6857142857142857,0.6788069073783359,0.6476190476190476,0.6398744113029828,0.7714285850524902,0.7704081632653061,0.6761904761904762,0.669012135405578,0.7333333492279053,0.731359649122807,0.6666666666666666,0.6663642137737048,0.7714285850524902,0.7714078374455733,0.6952380952380952,0.6932944606413994,0.7904762029647827,0.7904571843251089,0.6857142857142857,0.6849149397246408,0.7523809671401978,0.7512755102040817,0.6952380952380952,0.6952933858594236,517.3991799354553
HandOutlines,2,1000,370,0.9270270466804504,0.9208969760315462,0.9,0.8985456945225234,0.9054054054054054,0.904437852042461,0.9297297596931458,0.9229166666666666,0.9108108108108108,0.9104220050444224,0.9351351857185364,0.9295707623489102,0.9027027027027027,0.9021881496881498,0.9297297596931458,0.9220699264443797,0.9081081081081082,0.9076221413721414,0.9324324727058411,0.9260112462905639,0.8864864864864865,0.8847073359073359,0.9270270466804504,0.9195205065616163,0.8891891891891892,0.8867906867906867,11152.794976472855
Haptics,5,155,308,0.49025973677635193,0.4544088447502882,0.4772727272727273,0.4550452853553353,0.4675324675324675,0.43525855841444694,0.4707792103290558,0.4664389428372922,0.4935064935064935,0.46522301887208717,0.4675324559211731,0.4417518644821225,0.4805194805194805,0.4302849802771034,0.48051947355270386,0.4652812527337941,0.4577922077922078,0.4091211637003533,0.4935064911842346,0.48547051064056995,0.4707792207792208,0.44535188760457245,0.4610389471054077,0.4358675149409553,0.474025974025974,0.44805947176289357,775.1692402362823
Herring,2,64,64,0.734375,0.7142106645652745,0.59375,0.5690060908084165,0.609375,0.49984761407175204,0.703125,0.6673050615595075,0.625,0.6087662337662337,0.734375,0.7189356755360372,0.609375,0.4768747708104144,0.734375,0.7311588831233011,0.625,0.5092857142857142,0.6875,0.6761133603238867,0.625,0.6142629904559915,0.734375,0.7189356755360372,0.609375,0.49984761407175204,381.2101266384125
