dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
MedicalImages,10,381,760,0.5644736886024475,0.1411095224840087,0.7421052631578947,0.7379159264224711,0.7236842105263158,0.7068641724447067,166.6859529018402
Wine,2,57,54,0.7962962985038757,0.7904761904761904,0.7037037037037037,0.697054698457223,0.7777777777777778,0.7727910238429172,56.70886945724487
ACSF1,10,100,100,0.7299999594688416,0.7251917672970304,0.8,0.7943819694162945,0.82,0.8212106418879874,105.26322889328003
Adiac,37,390,391,0.6930946111679077,0.6818397408051828,0.6982097186700768,0.6831702368748266,0.6751918158567775,0.6527105940542238,255.9978859424591
AllGestureWiimoteX,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,43.4297399520874
AllGestureWiimoteY,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,43.17051935195923
AllGestureWiimoteZ,10,300,700,0.10000000149011612,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,43.335201263427734
ArrowHead,3,36,175,0.800000011920929,0.7989278247396902,0.7771428571428571,0.7754548746389585,0.72,0.7182500875257761,32.76946663856506
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.6333333333333333,0.6216450216450217,0.6666666666666666,0.6251515151515151,25.973489999771118
BeetleFly,2,20,20,0.949999988079071,0.949874686716792,0.85,0.846547314578005,0.95,0.949874686716792,14.465372800827026
BirdChicken,2,20,20,0.8500000238418579,0.8465473145780051,0.75,0.7333333333333333,0.85,0.846547314578005,15.587110042572021
BME,3,30,150,0.9466667175292969,0.9467083761135361,0.6666666666666666,0.6533189033189033,0.72,0.7166907166907166,23.671226978302002
Car,4,60,60,0.8833333849906921,0.8866406193992402,0.55,0.4919780018914558,0.6166666666666667,0.6354761011011011,55.28751468658447
CBF,3,30,900,0.902222216129303,0.9020796639050261,0.9766666666666667,0.9766049495259707,0.9466666666666667,0.9469002206115934,19.334222078323364
Chinatown,2,20,343,0.9854227900505066,0.981860489713893,0.9650145772594753,0.9653422632029213,0.9591836734693877,0.959443595251866,18.55741858482361
ChlorineConcentration,3,467,3840,0.9010416865348816,0.8866480074456197,0.7791666666666667,0.7728654830329771,0.77109375,0.7601699172169561,346.7735495567322
CinCECGTorso,4,40,1380,0.7739130854606628,0.7710585268585062,0.8434782608695652,0.8422572921598531,0.7702898550724637,0.7659827000357301,421.9309072494507
Coffee,2,28,28,1.0,1.0,0.8214285714285714,0.8129251700680271,0.8214285714285714,0.8178994918125354,13.84300422668457
Computers,2,250,250,0.6160000562667847,0.5925297113752122,0.732,0.7318927571028412,0.736,0.7346242923314462,162.15278363227844
CricketX,12,390,390,0.48461538553237915,0.48052022370141995,0.6487179487179487,0.6407515140973029,0.5974358974358974,0.5884654287961719,136.13917112350464
CricketY,12,390,390,0.4333333373069763,0.432322061041522,0.6512820512820513,0.6480437824484725,0.5820512820512821,0.5629555947773859,175.82528352737427
CricketZ,12,390,390,0.4692307710647583,0.48020833980876404,0.6538461538461539,0.6317012313558478,0.5487179487179488,0.5361131879207849,155.99387216567993
Crop,24,7200,16800,0.6801785826683044,0.6760754668185642,0.7432142857142857,0.7428957022472166,0.7323214285714286,0.7294110267565183,723.368358373642
DiatomSizeReduction,4,16,306,0.9640523195266724,0.9393845848300636,0.8725490196078431,0.8247750228229846,0.8496732026143791,0.8037816320187247,13.206430673599243
DistalPhalanxOutlineAgeGroup,3,400,139,0.7553957104682922,0.6431520757720129,0.7913669064748201,0.7915361568684154,0.7482014388489209,0.746415250538781,70.5660650730133
DistalPhalanxOutlineCorrect,2,600,276,0.7789855003356934,0.7705235323783173,0.7971014492753623,0.7933723196881091,0.7681159420289855,0.7626503544905251,40.317795515060425
DistalPhalanxTW,6,400,139,0.6402877569198608,0.46021337132284207,0.697841726618705,0.6401825305931461,0.7050359712230215,0.6558988349176889,53.22320079803467
DodgerLoopDay,7,78,80,0.15000000596046448,0.037267080745341616,0.15,0.03913043478260869,0.15,0.03913043478260869,28.79484462738037
DodgerLoopGame,2,20,138,0.52173912525177,0.34285714285714286,0.5217391304347826,0.3577639751552795,0.5217391304347826,0.3577639751552795,9.48839020729065
DodgerLoopWeekend,2,20,138,0.739130437374115,0.425,0.7391304347826086,0.6282608695652174,0.7391304347826086,0.6282608695652174,9.468907833099365
Earthquakes,2,322,139,0.7482014298439026,0.4279835390946502,0.762589928057554,0.6729720854918623,0.7769784172661871,0.7335121126641102,77.58310914039612
ECG200,2,100,100,0.9099999666213989,0.9017359973796266,0.9,0.9005577005577006,0.88,0.8772320217096337,47.68382668495178
ECG5000,5,500,4500,0.9402222037315369,0.5789361120548138,0.9397777777777778,0.9264653519161077,0.9331111111111111,0.9185489856768557,157.23240613937378
ECGFiveDays,2,23,861,0.9628338813781738,0.9627973297038046,0.7874564459930313,0.7869392531632853,0.8699186991869918,0.8697563242532532,32.14319348335266
ElectricDevices,7,8926,7711,0.568927526473999,0.4044311565215201,0.7034107119699131,0.6924083135071458,0.6870704188821165,0.6779312265770225,745.2650640010834
EOGHorizontalSignal,12,362,362,0.47790056467056274,0.48808118087818314,0.4972375690607735,0.48103668768610547,0.4419889502762431,0.407482241177906,337.2220628261566
EOGVerticalSignal,12,362,362,0.4419889748096466,0.4048827534131271,0.3867403314917127,0.35321672526538933,0.36464088397790057,0.2801606650721141,236.17056798934937
EthanolLevel,4,504,500,0.7740000486373901,0.7756481273602285,0.394,0.3738007628690946,0.358,0.344683788644488,492.13631319999695
FaceAll,14,560,1690,0.6881656646728516,0.7123838054703845,0.929585798816568,0.9305572211116638,0.8118343195266272,0.8126886706938302,134.63575625419617
FaceFour,4,24,88,0.9090909361839294,0.9159566875845946,0.8295454545454546,0.8305263157894737,0.75,0.745015360983103,32.987040519714355
FacesUCR,14,200,2050,0.6424390077590942,0.5981374846613035,0.8658536585365854,0.8649489210736372,0.8151219512195121,0.8135373804263353,277.0972979068756
FiftyWords,50,450,455,0.5076923370361328,0.29152479076784105,0.6593406593406593,0.6177231098370728,0.5538461538461539,0.4911162384727184,289.74056100845337
Fish,7,175,175,0.8914285898208618,0.8925473476075645,0.7314285714285714,0.7403294221929061,0.6057142857142858,0.5997613444720726,168.01997470855713
FordA,2,3601,1320,0.8242424130439758,0.8241390716307104,0.9,0.9000248015873016,0.9015151515151515,0.9015305358488738,519.717896938324
FordB,2,3636,810,0.7086420059204102,0.7085282475710688,0.7691358024691358,0.7682939859937911,0.774074074074074,0.7727056107207466,491.09634280204773
FreezerRegularTrain,2,150,2850,0.9852631688117981,0.9852608061563286,0.9880701754385965,0.9880701695636415,0.9568421052631579,0.9568376362514114,146.0191035270691
FreezerSmallTrain,2,28,2850,0.8038596510887146,0.8009427155079512,0.8178947368421052,0.8177475212664856,0.9014035087719299,0.901345682584769,71.47000527381897
Fungi,18,18,186,0.7150537371635437,0.7256077738686434,0.7150537634408602,0.701209088334403,0.6075268817204301,0.5961370933128161,48.94197607040405
GestureMidAirD1,26,208,130,0.03846153989434242,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,33.798868894577026
GestureMidAirD2,26,208,130,0.03846153989434242,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,34.80463910102844
GestureMidAirD3,26,208,130,0.03846153989434242,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,0.038461538461538464,0.0028490028490028487,35.09167265892029
GesturePebbleZ1,6,132,172,0.1627907007932663,0.04666666666666667,0.16279069767441862,0.04558139534883721,0.16279069767441862,0.04558139534883721,33.31787872314453
GesturePebbleZ2,6,146,158,0.15189874172210693,0.04395604395604396,0.1518987341772152,0.040061204618166646,0.1518987341772152,0.040061204618166646,33.127981662750244
GunPoint,2,50,150,0.9666666984558105,0.9666533279978657,0.9866666666666667,0.9866666666666667,0.9666666666666667,0.9666622204437331,45.380491971969604
GunPointAgeSpan,2,135,316,0.9778481125831604,0.9778478794251665,0.9715189873417721,0.9715061419840211,0.9430379746835443,0.9430402565417071,90.32875061035156
GunPointMaleVersusFemale,2,135,316,1.0,1.0,0.990506329113924,0.9905047081711914,0.990506329113924,0.9905077584387657,100.80128026008606
GunPointOldVersusYoung,2,136,315,1.0,1.0,1.0,1.0,1.0,1.0,34.96875596046448
Ham,2,109,105,0.723809540271759,0.722904722904723,0.6952380952380952,0.693734335839599,0.638095238095238,0.6277783731647197,38.965482234954834
HandOutlines,2,1000,370,0.9270270466804504,0.9208969760315462,0.8972972972972973,0.8965573119196586,0.8891891891891892,0.8884980614710344,1372.1504127979279
Haptics,5,155,308,0.49025973677635193,0.4544088447502882,0.4707792207792208,0.44509477691295873,0.4707792207792208,0.43775279733016526,189.62413477897644
Herring,2,64,64,0.734375,0.7142106645652745,0.609375,0.5891757865937073,0.609375,0.4768747708104144,50.61528301239014
HouseTwenty,2,40,119,0.7983193397521973,0.7918367346938775,0.957983193277311,0.9579221267752795,0.957983193277311,0.9577804361490154,65.9166533946991
InlineSkate,7,100,550,0.3163636326789856,0.3128506901582314,0.39090909090909093,0.3833323014702055,0.33090909090909093,0.32675539882624716,528.4742693901062
InsectEPGRegularTrain,3,62,249,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,28.648387908935547
InsectEPGSmallTrain,3,17,249,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,15.230653047561646
InsectWingbeatSound,11,220,1980,0.6045454740524292,0.5999318083589663,0.5035353535353535,0.4972629110681652,0.4484848484848485,0.4369067975928776,109.07628774642944
ItalyPowerDemand,2,67,1029,0.9737609028816223,0.9737584546173238,0.9650145772594753,0.9650142468392442,0.9494655004859086,0.9494087433392214,32.086270332336426
LargeKitchenAppliances,3,375,375,0.41066667437553406,0.41413346000501966,0.856,0.8552964144532768,0.8,0.7974296896733127,221.63191270828247
Lightning2,2,60,61,0.7704917788505554,0.7595720720720721,0.7868852459016393,0.785486625694267,0.7704918032786885,0.7606444836253141,59.5050151348114
Lightning7,7,70,73,0.698630154132843,0.6862846148560433,0.6986301369863014,0.6928012370745416,0.6575342465753424,0.6539740587984335,88.14903855323792
Mallat,8,55,2345,0.8963752388954163,0.896377087405241,0.9189765458422174,0.9177286759472325,0.9036247334754798,0.9015011666075735,804.3298900127411
