dataset;baseline;FAA;LA;TTSGAN;Time-DDPM;VaDE;ASCENSION;ResNetemb
ACSF1;0.8;0.75;0.82;0.86;0.7769784172661871;0.81;0.86;0.9
Adiac;0.6982097186700768;0.7416879795396419;0.6751918158567775;0.7570332480818415;0.5576923076923077;0.4731457800511509;0.782608695652174;0.7877237851662404
ArrowHead;0.7771428571428571;0.6685714285714286;0.72;0.7942857142857143;0.4843260188087774;0.8228571428571428;0.8114285714285714;0.8342857142857143
BME;0.6666666666666666;0.6466666666666666;0.72;0.6533333333333333;0.3037974683544304;0.6466666666666666;0.7;0.7066666666666667
Beef;0.6333333333333333;0.6;0.6666666666666666;0.6666666666666666;0.733;0.7;0.7;0.8
BeetleFly;0.85;0.8;0.95;0.9;0.9833333333333332;0.9;0.95;0.9
BirdChicken;0.75;0.9;0.85;0.85;0.6;0.9;0.75;0.9
CBF;0.9766666666666668;0.9922222222222222;0.9466666666666668;0.98;0.6493506493506493;0.9466666666666668;0.97;0.9755555555555556
Car;0.55;0.5666666666666667;0.6166666666666667;0.4;0.9904761904761904;0.6166666666666667;0.6333333333333333;0.6333333333333333
ChlorineConcentration;0.7791666666666667;0.5640625;0.77109375;0.7986979166666667;0.7314285714285714;0.80859375;0.7984375;0.8158854166666667
CinCECGTorso;0.8434782608695652;0.5673913043478261;0.7702898550724637;0.6884057971014492;0.9101497504159732;0.717391304347826;0.8391304347826087;0.8673913043478261
Coffee;0.8214285714285714;1.0;0.8214285714285714;0.8571428571428571;0.7172869926079627;0.9285714285714286;0.8214285714285714;0.8214285714285714
Computers;0.732;0.78;0.736;0.708;0.7341862426995456;0.728;0.776;0.716
Crop;0.7432142857142857;0.7097023809523809;0.7323214285714286;0.7580357142857143;0.824009324009324;0.7639880952380952;0.7652380952380953;0.7664285714285715
DistalPhalanxOutlineAgeGroup;0.7913669064748201;0.7553956834532374;0.7482014388489209;0.7985611510791367;0.7045454545454546;0.8057553956834532;0.7913669064748201;0.8057553956834532
DistalPhalanxOutlineCorrect;0.7971014492753623;0.7608695652173914;0.7681159420289855;0.7934782608695652;0.6116666666666667;0.7934782608695652;0.8079710144927537;0.8043478260869565
DistalPhalanxTW;0.697841726618705;0.6906474820143885;0.7050359712230215;0.7194244604316546;0.6296296296296297;0.7194244604316546;0.697841726618705;0.7266187050359713
ECG200;0.9;0.88;0.88;0.87;0.6476190476190476;0.87;0.85;0.91
ECG5000;0.9397777777777778;0.9311111111111112;0.9331111111111112;0.9388888888888888;0.6906474820143885;0.9433333333333334;0.9426666666666668;0.9413333333333334
ECGFiveDays;0.7874564459930313;0.9535423925667827;0.8699186991869918;0.7642276422764228;0.9235064209938582;0.8687572590011614;0.7816492450638792;0.8130081300813008
EOGHorizontalSignal;0.4972375690607735;0.3729281767955801;0.4419889502762431;0.1685082872928177;0.7373417721518988;0.5220994475138122;0.494475138121547;0.2541436464088398
EOGVerticalSignal;0.3867403314917127;0.2154696132596685;0.3646408839779005;0.1657458563535911;0.865814696485623;0.3066298342541436;0.3480662983425414;0.1049723756906077
Earthquakes;0.762589928057554;0.7482014388489209;0.7769784172661871;0.7769784172661871;0.95;0.7697841726618705;0.7841726618705036;0.7769784172661871
ElectricDevices;0.7034107119699131;0.6415510309946829;0.6870704188821165;0.6777331085462327;0.8482926829268292;0.7209181688496953;0.6856438853585787;0.684347036700817
EthanolLevel;0.394;0.35;0.358;0.35;0.3214285714285714;0.526;0.8100000619888306;0.404
FaceAll;0.929585798816568;0.806508875739645;0.8118343195266272;0.8727810650887574;0.4935064935064935;0.9112426035502958;0.8828402366863906;0.8964497041420119
FaceFour;0.8295454545454546;0.7954545454545454;0.75;0.6363636363636364;0.9702702702702702;0.7272727272727273;0.8068181818181818;0.8409090909090909
FacesUCR;0.8658536585365854;0.855609756097561;0.8151219512195121;0.8575609756097561;0.9590820786789704;0.8151219512195121;0.8575609756097561;0.8429268292682927
Fish;0.7314285714285714;0.8571428571428571;0.6057142857142858;0.6685714285714286;0.8768115942028986;0.8285714285714286;0.6971428571428572;0.7028571428571428
FordA;0.9;0.8984848484848484;0.9015151515151516;0.9;0.782608695652174;0.906818181818182;0.9;0.9030303030303032
FordB;0.7691358024691358;0.7679012345679013;0.774074074074074;0.7728395061728395;0.6839754327191513;0.7851851851851852;0.7945697584566523;0.7877248462666262
FreezerRegularTrain;0.9880701754385964;0.8894736842105263;0.956842105263158;0.9891228070175438;0.8097560975609757;0.9926315789473684;0.9893445685657582;0.9993445658477582
FreezerSmallTrain;0.8178947368421052;0.7905263157894736;0.90140350877193;0.7631578947368421;0.6694584031267449;0.856140350877193;0.8091228604316711;0.8361434837727193
GunPoint;0.9866666666666668;0.98;0.9666666666666668;0.9866666666666668;0.3;0.9666666666666668;0.9866666666666668;0.9866666666666668
GunPointAgeSpan;0.971518987341772;0.9462025316455696;0.9430379746835444;0.5063291139240507;0.3228571428571428;0.9873417721518988;0.9884177215189873;0.9873417721518988
GunPointMaleVersusFemale;0.990506329113924;0.9936708860759492;0.990506329113924;0.5253164556962026;0.9312;0.9936708860759492;0.9936708860759492;0.9936708860759492
GunPointOldVersusYoung;1.0;1.0;1.0;0.5238095238095238;0.7333333333333333;1.0;1.0;1.0
Ham;0.6952380952380952;0.7142857142857143;0.638095238095238;0.6857142857142857;1.0;0.6666666666666666;0.6761904761904762;0.7047619047619048
HandOutlines;0.8972972972972973;0.6810810810810811;0.8891891891891892;0.71652632598451;0.8056265984654731;0.918918918918919;0.9108108108108108;0.9135135135135136
Haptics;0.4707792207792208;0.3051948051948052;0.4707792207792208;0.4415584415584415;0.7714285714285715;0.4772727272727273;0.474025974025974;0.474025974025974
Herring;0.609375;0.59375;0.609375;0.625;0.5733333333333334;0.625;0.609375;0.6875
