dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
MiddlePhalanxOutlineAgeGroup,3,400,154,0.6233766078948975,0.5006936702588877,0.6493506493506493,0.5822401298858698,0.6233766078948975,0.5349263883295298,0.6623376623376623,0.5910257388230956,0.6298701167106628,0.47064880666695763,0.6558441558441559,0.5915989764507633,0.6168830990791321,0.4900326797385621,0.6623376623376623,0.5948599020027593,0.6233766078948975,0.39613225202744856,0.6558441558441559,0.5866525448592317,0.5974025726318359,0.45729352346999413,0.6558441558441559,0.5934365475541946,0.6168830990791321,0.39098328572012786,0.6493506493506493,0.5822401298858698,661.3700656890869
Plane,7,105,105,0.9904762506484985,0.9907834101382489,1.0,1.0,0.9904762506484985,0.9907448872966115,1.0,1.0,1.0,1.0,1.0,1.0,0.9809524416923523,0.9815476190476191,1.0,1.0,0.9809524416923523,0.9829788130830617,1.0,1.0,0.9904762506484985,0.9919073845116332,1.0,1.0,0.9904762506484985,0.9907448872966115,1.0,1.0,142.61412382125854
DistalPhalanxOutlineCorrect,2,600,276,0.782608687877655,0.7769396551724138,0.7934782608695652,0.7871114512905557,0.7681159377098083,0.7649563551202896,0.7934782608695652,0.7904150567119531,0.77173912525177,0.7583355339050187,0.7898550724637681,0.785461389385808,0.782608687877655,0.7637390857729841,0.7971014492753623,0.7943187892864385,0.79347825050354,0.7849380049486678,0.7971014492753623,0.79385867554569,0.782608687877655,0.775232097290841,0.7971014492753623,0.795904995904996,0.782608687877655,0.7685599284436494,0.7862318840579711,0.7830611990527233,1458.7679941654205
Meat,3,60,60,1.0,1.0,0.9166666666666666,0.9174692516155931,1.0,1.0,0.9,0.8995413800291849,0.98333340883255,0.9833229101521784,0.9,0.8994708994708994,0.9333333969116211,0.9341229341229341,0.85,0.8495205336668751,0.9666666984558105,0.9666666666666667,0.8333333333333334,0.8335472828412496,0.9500000476837158,0.9499164578111946,0.8666666666666667,0.8661952650324742,0.98333340883255,0.9833229101521784,0.9166666666666666,0.915993265993266,237.21277117729187
HandOutlines,2,1000,370,0.9324324727058411,0.9249255342461307,0.9054054054054054,0.9046303959178262,0.9216216206550598,0.9125787239589698,0.8864864864864865,0.885442085939245,0.9216216206550598,0.9144685973009382,0.8891891891891892,0.8882813209323106,0.9378378391265869,0.9316899316899316,0.8891891891891892,0.8894541926673198,0.916216254234314,0.9082539454002991,0.8756756756756757,0.873727082184225,0.9297297596931458,0.9226414487439287,0.845945945945946,0.8469759847824364,0.9297297596931458,0.9214693877551021,0.8972972972972973,0.8969430256216803,7476.081648111343
MedicalImages,10,381,760,0.7394737005233765,0.6553671566916989,0.7447368421052631,0.7278096634999727,0.7500000596046448,0.6978291845583665,0.7513157894736842,0.7467982456986272,0.753947377204895,0.6940087359338035,0.7526315789473684,0.7443640016255474,0.7394737005233765,0.6733221527942808,0.7473684210526316,0.731789762418934,0.7381579279899597,0.6577795126702942,0.7578947368421053,0.7541298527036835,0.736842155456543,0.671436065478741,0.7592105263157894,0.7517741034793625,0.732894778251648,0.6599509715655367,0.7552631578947369,0.7382175111904549,998.0337517261505
Wine,2,57,54,0.8703703880310059,0.8681548657132891,0.7962962962962963,0.7945347630577655,0.7592592835426331,0.7551447506103941,0.6851851851851852,0.6824628156347285,0.7592592835426331,0.7523809523809524,0.6851851851851852,0.6842105263157895,0.7777777910232544,0.775,0.6851851851851852,0.6850771869639795,0.7777777910232544,0.7662337662337663,0.6666666666666666,0.6662087912087913,0.8333333134651184,0.8304848273456574,0.6851851851851852,0.6588628762541807,0.8518518805503845,0.8500000000000001,0.6666666666666666,0.6662087912087913,151.69978022575378
Ham,2,109,105,0.761904776096344,0.7618183467924871,0.6952380952380952,0.6915885882724497,0.7523809671401978,0.7523584905660378,0.6666666666666666,0.6602284334664315,0.7428571581840515,0.7367443588076887,0.6952380952380952,0.6791208791208792,0.7809523940086365,0.7789473684210526,0.6952380952380952,0.693734335839599,0.7142857313156128,0.6870031796502385,0.6952380952380952,0.6901587301587302,0.7714285850524902,0.7712418300653594,0.6761904761904762,0.6735771931663348,0.7714285850524902,0.7619047619047619,0.7047619047619048,0.7047619047619048,225.0573251247406
Haptics,5,155,308,0.48376622796058655,0.4545382108543068,0.4577922077922078,0.42541471682030907,0.49025973677635193,0.46823296650435564,0.4512987012987013,0.4087768116002751,0.48051947355270386,0.4744031151546501,0.4707792207792208,0.47050536510105906,0.47727271914482117,0.45255296709804077,0.474025974025974,0.4639743094377473,0.4740259647369385,0.4709051962786477,0.4675324675324675,0.4444629596325563,0.4740259647369385,0.4741711773746703,0.4577922077922078,0.4345087191698743,0.48051947355270386,0.4601707383525565,0.5227272727272727,0.514462269642324,683.4941291809082
GunPointOldVersusYoung,2,136,315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,250.63688683509827
