dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time,alpha
ACSF1,10,100,100,0.75,0.7413591345513543,0.85,0.8484916837548417,0.7299999594688416,0.7145912910618792,0.84,0.8363457430680475,0.7199999690055847,0.697201671393622,0.83,0.8269925967752054,0.699999988079071,0.6832348094772029,0.87,0.870824525080818,0.6699999570846558,0.6603841605292003,0.86,0.8577851826536037,0.7199999690055847,0.7129764463860574,0.85,0.8476082251082252,0.699999988079071,0.6842032219586399,0.87,0.8678102453102454,651.1539511680603,1.2
ACSF1,10,100,100,0.75,0.7413591345513543,0.85,0.8484916837548417,0.75,0.7397997748650595,0.85,0.849139515455305,0.7199999690055847,0.7133491817779742,0.85,0.8474397111316615,0.7599999904632568,0.7526550887637682,0.87,0.8675757129007903,0.7099999785423279,0.7072296309828279,0.85,0.8474420453987017,0.699999988079071,0.6928837674193711,0.84,0.8388022641273416,0.75,0.7454266721597452,0.84,0.8393369788106629,701.942223072052,1.4
ACSF1,10,100,100,0.75,0.7413591345513543,0.85,0.8484916837548417,0.75,0.7463189167213934,0.85,0.8476529326105312,0.6699999570846558,0.6686696688244675,0.87,0.8675757129007903,0.7299999594688416,0.6995058808767249,0.85,0.8509577633147427,0.75,0.7338436794406642,0.85,0.8473639749221925,0.699999988079071,0.6797802528008478,0.84,0.8401615699327368,0.7099999785423279,0.702972961678844,0.86,0.8593845615355913,992.1795678138733,1.5999999999999999
ACSF1,10,100,100,0.75,0.7413591345513543,0.85,0.8484916837548417,0.7400000095367432,0.7325390399074609,0.87,0.8704799878484089,0.75,0.7432288609223594,0.84,0.838477968539888,0.7400000095367432,0.7346720075590045,0.81,0.8070464485634763,0.7400000095367432,0.7275951776902617,0.82,0.8182356961923526,0.7400000095367432,0.7346153113443897,0.88,0.8798936735778841,0.75,0.7501937048309373,0.86,0.8597600060757955,1055.5843086242676,1.7999999999999998
ACSF1,10,100,100,0.75,0.7413591345513543,0.87,0.869254955570745,0.7099999785423279,0.7094152420693678,0.85,0.8500835421888052,0.7400000095367432,0.727378350549706,0.87,0.869544315333789,0.7400000095367432,0.7336461066640094,0.88,0.8805969469127364,0.7199999690055847,0.7191989040259332,0.85,0.8438816738816739,0.6699999570846558,0.6674603174603174,0.88,0.879544315333789,0.6699999570846558,0.6726582761250952,0.87,0.8691964760385812,2041.3078892230988,1.2
ACSF1,10,100,100,0.75,0.7413591345513543,0.88,0.8797812713602187,0.6800000071525574,0.6702643037854763,0.86,0.8592503987240829,0.7099999785423279,0.6954125775063991,0.84,0.8379567719189471,0.7299999594688416,0.7215302626218956,0.87,0.8700931511915493,0.6499999761581421,0.6224707432380067,0.87,0.870145908443122,0.6599999666213989,0.6405986199996595,0.85,0.8512311974231479,0.699999988079071,0.689832237242723,0.86,0.8599761921272219,1101.9093086719513,1.4
ACSF1,10,100,100,0.75,0.7413591345513543,0.88,0.8797812713602187,0.75,0.741857641753286,0.85,0.8462092731829572,0.6899999976158142,0.6839342815692258,0.87,0.8727492974861396,0.699999988079071,0.6824955890940545,0.86,0.8593673577884104,0.6699999570846558,0.6484602382066885,0.86,0.8582023239917976,0.699999988079071,0.6924829233224711,0.86,0.8589010404799877,0.6499999761581421,0.6154515263008331,0.89,0.889756208703577,845.290769815445,1.5999999999999999
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.89,0.8903203537913924,0.9300000071525574,0.9235724424063763,0.87,0.8695883830112459,0.8899999856948853,0.879899552352877,0.89,0.8888682376369067,0.9099999666213989,0.9017359973796266,0.88,0.8792087912087913,0.8799999952316284,0.8663101604278074,0.85,0.8512000000000001,0.8799999952316284,0.864314789687924,0.83,0.8326142901977194,0.8799999952316284,0.8697916666666667,0.81,0.8133706816059757,487.656352519989,1.2
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.87,0.8686624626617988,0.9099999666213989,0.9017359973796266,0.87,0.8695883830112459,0.8899999856948853,0.8746438746438747,0.85,0.8458119658119658,0.8799999952316284,0.864314789687924,0.83,0.83136,0.8899999856948853,0.8783051222480363,0.88,0.8806692406692406,0.8899999856948853,0.8783051222480363,0.88,0.8816645649432534,0.9199999570846558,0.9131944444444444,0.9,0.8993406593406593,564.545158624649,1.4
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.88,0.8806692406692406,0.9199999570846558,0.910873440285205,0.86,0.8567706919945727,0.9199999570846558,0.9120879120879121,0.85,0.8472225339468074,0.9300000071525574,0.9225578050669322,0.85,0.8518213493823251,0.9199999570846558,0.910873440285205,0.89,0.8896517087018233,0.9099999666213989,0.9017359973796266,0.87,0.87104,0.8999999761581421,0.8914930555555556,0.83,0.8282509127115831,596.1293299198151,1.5999999999999999
