dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,mean_trust_step_0,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,mean_trust_step_1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,mean_trust_step_2,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,mean_trust_step_3,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,mean_trust_step_4,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,mean_trust_step_5,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
ShapeletSim,2,20,180,0.5222222208976746,0.4888389908862766,0.9833333333333333,0.983328702417338,0.5365,0.5333333611488342,0.516067084880297,1.0,1.0,0.55149996,0.5222222208976746,0.5184171229467396,1.0,1.0,0.525,0.5666666626930237,0.546453030107249,1.0,1.0,0.5495,0.5611111521720886,0.5494153807154853,0.9833333333333333,0.983328702417338,0.5445,0.5722222328186035,0.5533498759305211,1.0,1.0,0.539,0.5777778029441833,0.5454545454545454,1.0,1.0,62.06305813789368
PhalangesOutlinesCorrect,2,1800,858,0.8426573872566223,0.8271490714280385,0.831002331002331,0.8316467620765308,0.524,0.8426573872566223,0.8321155928277717,0.8403263403263403,0.8393908973936334,0.49850002,0.825174868106842,0.8083817714040687,0.8216783216783217,0.8198639920686368,0.5,0.8298368453979492,0.8185489478075461,0.8263403263403264,0.8223154131349006,0.5,0.8263403177261353,0.8044616431756131,0.8251748251748252,0.8253646180121473,0.5005,0.824009358882904,0.8126808194400869,0.8286713286713286,0.8265267186537304,0.4995,0.8216783404350281,0.8055646481178396,0.8251748251748252,0.8212079620793709,6617.053735971451
FacesUCR,14,200,2050,0.7712194919586182,0.7397055740693668,0.8775609756097561,0.8775541656989724,0.09135715,0.7541463375091553,0.7143761872070309,0.8560975609756097,0.8560049057463436,0.08628572,0.7458536624908447,0.7048176962255889,0.8658536585365854,0.8636684078431669,0.088,0.7521951198577881,0.7060393211343675,0.8668292682926829,0.8623493800741656,0.08928572,0.7560975551605225,0.7181109146624668,0.8760975609756098,0.8753081952935129,0.089928575,0.7521951198577881,0.6925619738552188,0.8746341463414634,0.8735435984214275,0.08114286,0.7458536624908447,0.7168156612123734,0.871219512195122,0.8684966210302154,622.8677480220795
BME,3,30,150,0.9733333587646484,0.9733986732006534,0.6933333333333334,0.6845572504237171,0.38766667,0.9733333587646484,0.9733184961916447,0.72,0.7206119437445416,0.39333332,0.893333375453949,0.8915032679738562,0.7,0.696614363245731,0.365,0.9133333563804626,0.9134427104175004,0.6466666666666666,0.6350414716268376,0.37333333,0.9266666769981384,0.9266619995332867,0.6466666666666666,0.5952270692476305,0.34733334,0.9266666769981384,0.926641083958707,0.64,0.6271513493374262,0.37899998,0.9266666769981384,0.926323762308063,0.7,0.6920552927834482,126.25327515602112
Wafer,2,1000,6164,0.9961064457893372,0.9898460433503444,0.9974042829331603,0.9974008396872267,0.5085,0.9959442019462585,0.9894299839323409,0.995295262816353,0.9952779953281835,0.50049996,0.9951330423355103,0.9873411829134722,0.9944841012329656,0.9944841012329656,0.49400002,0.9954575300216675,0.9881694347085666,0.995295262816353,0.9952874549206568,0.5025,0.9939973950386047,0.9842727852667799,0.9939974042829332,0.993987442484976,0.505,0.9954575300216675,0.9881221370683579,0.9933484750162233,0.9933195732049296,0.49850002,0.994321882724762,0.9853380435904708,0.9935107073329007,0.9935064107530351,3789.363545894623
ProximalPhalanxOutlineAgeGroup,3,400,205,0.8585366010665894,0.7470396796752331,0.8780487804878049,0.8767217550116305,0.35033333,0.8585366010665894,0.7663402873587245,0.8878048780487805,0.8873088052914426,0.36633334,0.8536585569381714,0.6977943480845085,0.8731707317073171,0.8692709148398741,0.37666667,0.8487805128097534,0.7329963364307571,0.8878048780487805,0.8847287985167906,0.36666667,0.8536585569381714,0.5933447305254796,0.8829268292682927,0.8800715376436709,0.36766663,0.8536585569381714,0.5933447305254796,0.8829268292682927,0.8785848298043419,0.35633335,0.8585366010665894,0.6955234504420362,0.8878048780487805,0.8869610975034784,862.7297306060791
SwedishLeaf,15,500,625,0.8623999953269958,0.859921907765292,0.9312,0.9311539221475982,0.074599996,0.8639999628067017,0.8636236648826122,0.9424,0.9419274272718602,0.07846667,0.8831999897956848,0.8841301722539311,0.936,0.9355922914014183,0.07580001,0.8815999627113342,0.8828735595647573,0.9232,0.9226225285165365,0.078266665,0.8847999572753906,0.8846695403353512,0.9312,0.9307095708436455,0.07373333,0.871999979019165,0.871980733159967,0.9424,0.9423724099263651,0.078933336,0.8623999953269958,0.8617688055483745,0.9344,0.9339919242720695,1155.8354501724243
Fish,7,175,175,0.868571400642395,0.8703151752897831,0.7542857142857143,0.7614762019784875,0.16285715,0.845714271068573,0.8536362122488285,0.7828571428571428,0.7867990491384124,0.17328571,0.8399999737739563,0.845649251517301,0.7771428571428571,0.7849500189292844,0.17757143,0.8114285469055176,0.8144326588444236,0.7428571428571429,0.7374862647032959,0.18585715,0.845714271068573,0.8489460539460539,0.7371428571428571,0.7282507830333917,0.16228572,0.800000011920929,0.8027732998617657,0.7428571428571429,0.7441274786517958,0.16957143,0.7942857146263123,0.7961421718298273,0.7542857142857143,0.7588756322745445,688.0658936500549
ECG5000,5,500,4500,0.9422222375869751,0.58533844984823,0.9444444444444444,0.9345152730463305,0.2076,0.9391111135482788,0.5682984170486776,0.9417777777777778,0.9316378989903435,0.2162,0.9375555515289307,0.5767865844061635,0.9415555555555556,0.9311240106180151,0.20800002,0.9384444355964661,0.56381408854127,0.94,0.9311377816312215,0.2078,0.9395555853843689,0.5537498472629119,0.9422222222222222,0.9320204386780719,0.2122,0.9395555853843689,0.5813832731731006,0.9415555555555556,0.930316600392786,0.2344,0.9399999976158142,0.5711133236083352,0.9404444444444444,0.9310925264368628,1258.7209467887878
EthanolLevel,4,504,500,0.8240000605583191,0.8258832722347087,0.518,0.4763142639376423,0.271,0.796000063419342,0.8002249783001574,0.542,0.5183083009807808,0.24975,0.7920000553131104,0.7925079370626429,0.52,0.4787116281109509,0.26375,0.8220000267028809,0.8240392379214472,0.516,0.4973115747469538,0.25075,0.8180000185966492,0.8175201657485123,0.502,0.47941273019404274,0.25875002,0.7800000309944153,0.7815030640017472,0.49,0.436180218349302,0.2575,0.7920000553131104,0.7909729036346538,0.514,0.5075558803680789,2951.513925075531
