dataset,num_classes,num_train_samples,num_test_samples,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,execution_time
DistalPhalanxOutlineAgeGroup,3,800,139,0.5611510791366906,0.49447463972395744,18.54938578605652
PigArtPressure,52,208,208,0.02403846153846154,0.0016368398079441293,6.292396068572998
ShapeletSim,2,40,180,0.7777777777777778,0.7722672064777327,1.0720913410186768
WordSynonyms,25,534,638,0.26959247648902823,0.15182807205063906,11.101426362991333
Yoga,2,600,3000,0.56,0.5604130444375799,15.79629397392273
Car,4,120,60,0.35,0.24112662013958128,3.655272960662842
Phoneme,39,428,1896,0.15664556962025317,0.07281404088432711,17.62818193435669
MiddlePhalanxOutlineAgeGroup,3,800,154,0.2987012987012987,0.19025974025974027,22.859796285629272
Plane,7,210,105,0.29523809523809524,0.15441665387959697,3.8710899353027344
AllGestureWiimoteY,10,600,700,0.11142857142857143,0.04622891834487572,20.313273668289185
HandOutlines,2,2000,370,0.4135135135135135,0.4251844271136876,75.02608323097229
Fish,7,350,175,0.18285714285714286,0.07484104164955228,6.7320849895477295
SonyAIBORobotSurface1,2,40,601,0.5707154742096506,0.41473603316506386,0.9012372493743896
ElectricDevices,7,17852,7711,0.3817922448450266,0.3098941842400866,317.27407717704773
Wafer,2,2000,6164,0.9146658014276444,0.9087527002993627,66.02485513687134
PhalangesOutlinesCorrect,2,3600,858,0.38694638694638694,0.21590958061546298,56.9955689907074
ACSF1,10,200,100,0.18,0.08745892661555313,4.308417320251465
ShapesAll,60,1200,600,0.043333333333333335,0.009245546305874739,31.16010594367981
FaceFour,4,48,88,0.4659090909090909,0.4287182174506119,1.757786750793457
Wine,2,114,54,0.5740740740740741,0.5272173582032738,5.284502267837524
Meat,3,120,60,0.3333333333333333,0.16666666666666666,2.2146408557891846
DistalPhalanxTW,6,800,139,0.39568345323741005,0.30252362710279873,22.065908432006836
UWaveGestureLibraryAll,8,1792,3582,0.2333891680625349,0.15935065534331277,47.03558325767517
Ham,2,218,105,0.4857142857142857,0.31758241758241756,4.204455375671387
FacesUCR,14,400,2050,0.1048780487804878,0.052185534437048396,7.477332830429077
GunPointMaleVersusFemale,2,270,316,0.5253164556962026,0.36183623089447975,4.5127785205841064
AllGestureWiimoteX,10,600,700,0.15857142857142856,0.06302440068493151,16.623785972595215
Haptics,5,310,308,0.21753246753246752,0.07773160173160173,6.783496379852295
Strawberry,2,1226,370,0.7243243243243244,0.719261060210996,34.77046513557434
MoteStrain,2,40,1252,0.6078274760383386,0.5249320004996937,1.114243745803833
UWaveGestureLibraryX,8,1792,3582,0.3877721943048576,0.2808720034048316,53.834168672561646
StarLightCurves,3,2000,8236,0.8406993686255464,0.7776826984083401,145.22302222251892
DistalPhalanxOutlineCorrect,2,1200,276,0.6557971014492754,0.6516504061829338,55.24820280075073
DodgerLoopWeekend,2,40,138,0.7391304347826086,0.6282608695652174,0.9010918140411377
UWaveGestureLibraryZ,8,1792,3582,0.2509771077610274,0.18126761261364358,49.45073366165161
UWaveGestureLibraryY,8,1792,3582,0.31546621998883306,0.23397559987070368,35.43212127685547
ProximalPhalanxTW,6,800,205,0.35121951219512193,0.18258342872237387,15.418191194534302
DodgerLoopDay,7,156,80,0.1875,0.08388888888888887,5.061794757843018
AllGestureWiimoteZ,10,600,700,0.19285714285714287,0.11394486377077079,21.70967960357666
SwedishLeaf,15,1000,625,0.1632,0.1045481854315897,19.671398401260376
Trace,4,200,100,0.59,0.5054484503478811,6.728138446807861
SmallKitchenAppliances,3,750,375,0.5226666666666666,0.43420041469108417,20.54574942588806
InsectEPGRegularTrain,3,124,249,1.0,1.0,2.8533146381378174
NonInvasiveFetalECGThorax1,42,3600,1965,0.02544529262086514,0.0016587065082799251,70.77831554412842
CBF,3,60,900,0.8555555555555555,0.8590906882787296,1.9350695610046387
GunPointAgeSpan,2,270,316,0.5063291139240507,0.3403893202850761,4.435197830200195
ScreenType,3,750,375,0.38666666666666666,0.27534391534391534,19.45758891105652
NonInvasiveFetalECGThorax2,42,3600,1965,0.035623409669211195,0.003222508718057418,70.80887603759766
SonyAIBORobotSurface2,2,54,953,0.7460650577124869,0.7107414895265189,1.1822147369384766
FiftyWords,50,900,455,0.15604395604395604,0.05855862501209399,16.430381774902344
Mallat,8,110,2345,0.24989339019189766,0.10210162124501297,11.58635950088501
PowerCons,2,360,180,0.5166666666666667,0.36933671620152225,6.020506143569946
Rock,4,40,50,0.18,0.05586206896551724,1.5770812034606934
SyntheticControl,6,600,300,0.89,0.8848192313362593,15.773173093795776
TwoPatterns,4,2000,4000,0.7495,0.7160816317037411,35.230355739593506
SemgHandMovementCh2,6,900,450,0.16666666666666666,0.047619047619047616,17.805564641952515
FreezerRegularTrain,2,300,2850,0.7810526315789473,0.7805529217409074,9.023735761642456
EOGVerticalSignal,12,724,362,0.143646408839779,0.04336544285018419,13.635570526123047
ChlorineConcentration,3,934,3840,0.5338541666666666,0.37384198532698026,30.503917455673218
ECG200,2,200,100,0.79,0.7793749262884774,5.256423473358154
GestureMidAirD3,26,416,130,0.1,0.04190652569454001,8.822888135910034
OSULeaf,6,400,242,0.40082644628099173,0.31405485664740207,14.557366371154785
ECG5000,5,1000,4500,0.8202222222222222,0.8003383914392307,26.573610544204712
ShakeGestureWiimoteZ,10,100,50,0.68,0.5847222222222223,4.360377788543701
Fungi,18,36,186,0.07526881720430108,0.011579818031430936,0.8300752639770508
PigCVP,52,208,208,0.04807692307692308,0.018844313581155687,10.258570909500122
SemgHandSubjectCh2,5,900,450,0.2222222222222222,0.10719173487186368,20.310622692108154
CinCECGTorso,4,80,1380,0.5130434782608696,0.4459709109148131,12.397339820861816
MixedShapesSmallTrain,5,200,2425,0.1888659793814433,0.060007366324454414,11.900805234909058
BeetleFly,2,40,20,0.85,0.846547314578005,0.8463895320892334
BME,3,60,150,0.49333333333333335,0.3885086495226704,1.2374720573425293
ProximalPhalanxOutlineAgeGroup,3,800,205,0.7853658536585366,0.7490614813982241,32.02813243865967
HouseTwenty,2,80,119,0.5798319327731093,0.4256213123547291,2.428149461746216
CricketZ,12,780,390,0.36666666666666664,0.2673548772738744,19.566978216171265
LargeKitchenAppliances,3,750,375,0.616,0.4928857209181653,15.208954095840454
DodgerLoopGame,2,40,138,0.782608695652174,0.7813258807898473,1.4481103420257568
RefrigerationDevices,3,750,375,0.4,0.33690565058453775,13.951298236846924
MelbournePedestrian,10,2388,2439,0.23206232062320623,0.13591755540831937,62.182703495025635
FaceAll,14,1120,1690,0.05029585798816568,0.005808895033888905,30.48989176750183
Symbols,6,50,995,0.33668341708542715,0.17983789959741145,3.860623836517334
GunPoint,2,100,150,0.5066666666666667,0.34076696165191744,1.845210075378418
Herring,2,128,64,0.59375,0.4424019607843137,2.165079116821289
Adiac,37,780,391,0.0741687979539642,0.0259694424542489,23.9709210395813
Lightning2,2,120,61,0.45901639344262296,0.28881930373917847,2.259861946105957
WormsTwoClass,2,362,77,0.7792207792207793,0.7720331757228122,8.195704698562622
EOGHorizontalSignal,12,724,362,0.16574585635359115,0.04836194580497583,14.821810483932495
InsectWingbeatSound,11,440,1980,0.22727272727272727,0.11255874829510987,23.640090465545654
ArrowHead,3,72,175,0.6114285714285714,0.5022413175796635,1.6436491012573242
GesturePebbleZ1,6,264,172,0.1686046511627907,0.04865208839523314,4.7257959842681885
GunPointOldVersusYoung,2,272,315,0.5238095238095238,0.3601190476190476,4.4713921546936035
Earthquakes,2,644,139,0.7697841726618705,0.6881989145525685,12.558246850967407
GesturePebbleZ2,6,292,158,0.2468354430379747,0.11958275785147109,4.830456495285034
Lightning7,7,140,73,0.2876712328767123,0.173851430449159,2.4284820556640625
Worms,5,362,77,0.6103896103896104,0.48759276437847865,8.674223184585571
DiatomSizeReduction,4,32,306,0.5490196078431373,0.4369747899159664,1.2930583953857422
SemgHandGenderCh2,2,600,600,0.6883333333333334,0.6016766254613424,15.910717725753784
