dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,vae_augmented_best_acc,vae_augmented_best_f1,vae_augmented_augmented_best_acc,vae_augmented_augmented_best_f1,vae_augmented_augmented_augmented_best_acc,vae_augmented_augmented_augmented_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,classifier_augmented_augmented_best_acc,classifier_augmented_augmented_best_f1,classifier_augmented_augmented_augmented_best_acc,classifier_augmented_augmented_augmented_best_f1
ACSF1,10,100,100,0.77,0.7662525565250022,0.77,0.7691596638655461,0.75,0.74027173309782,0.75,0.7380314092213405,0.88,0.8802323991797677,0.89,0.8887787650945547,0.9,0.9009561783245994,0.88,0.8783014577441821
Adiac,37,390,391,0.710997442455243,0.7001192053061343,0.7442455242966752,0.7384810235454616,0.7365728900255755,0.7374189978177532,0.7237851662404092,0.718541686884534,0.7544757033248082,0.7504509802809163,0.7442455242966752,0.7406566614974017,0.7442455242966752,0.7389325308287514,0.7416879795396419,0.7335465372315456
BeetleFly,2,20,20,0.9,0.898989898989899,0.95,0.949874686716792,0.9,0.898989898989899,0.95,0.949874686716792,0.9,0.898989898989899,0.95,0.949874686716792,0.95,0.949874686716792,0.95,0.949874686716792
ArrowHead,3,36,175,0.8457142857142858,0.8449919906800641,0.8114285714285714,0.8100584975369458,0.8457142857142858,0.8454450411743644,0.8285714285714286,0.8278204807061057,0.7885714285714286,0.7847787937933922,0.7942857142857143,0.7957265369997764,0.8228571428571428,0.8221899290350417,0.7885714285714286,0.7869896122017656
Beef,5,30,30,0.9666666666666667,0.9664335664335665,0.9333333333333333,0.9328671328671329,0.9666666666666667,0.9664335664335665,0.9666666666666667,0.9664335664335665,0.7333333333333333,0.7247552447552449,0.8666666666666667,0.868997668997669,0.9,0.8997668997668998,0.8666666666666667,0.8634032634032633
BirdChicken,2,20,20,0.9,0.898989898989899,0.9,0.898989898989899,0.9,0.898989898989899,0.9,0.898989898989899,0.85,0.846547314578005,0.8,0.7916666666666667,0.85,0.846547314578005,0.9,0.898989898989899
BME,3,30,150,0.96,0.9601123179486561,0.9466666666666667,0.9473484362298378,0.9266666666666666,0.9271454856576332,0.96,0.9603610675039246,0.72,0.7126124843183129,0.6933333333333334,0.679985754985755,0.6933333333333334,0.6878996995546972,0.6666666666666666,0.6488323298668126
CBF,3,30,900,0.9422222222222222,0.9422183957526186,0.8833333333333333,0.8823111548084627,0.9055555555555556,0.9049602752008289,0.8888888888888888,0.8890716277790789,0.9722222222222222,0.972109743395547,0.9555555555555556,0.9553462058719632,0.9333333333333333,0.9330336682506805,0.95,0.949936844598211
Car,4,60,60,0.8666666666666667,0.8693765193765194,0.85,0.8553979266622945,0.8666666666666667,0.8728387361720694,0.8666666666666667,0.8666666666666667,0.65,0.642063492063492,0.6333333333333333,0.5553394476069998,0.6,0.5330959164292498,0.6,0.5623495012039903
ChlorineConcentration,3,467,3840,0.9015625,0.8998800741068678,0.89140625,0.8892940105514737,0.8919270833333334,0.8896087402128364,0.8947916666666667,0.8918887263187796,0.78828125,0.7746675659213973,0.7841145833333333,0.7719689038033105,0.7869791666666667,0.7771096903060329,0.7747395833333334,0.7668720043748929
CinCECGTorso,4,40,1380,0.8304347826086956,0.8303620505783071,0.7057971014492753,0.6968439046388656,0.7108695652173913,0.7037636393990964,0.7,0.6937565684910617,0.8630434782608696,0.8621214881199377,0.863768115942029,0.8647170069262272,0.8898550724637682,0.8896569596657706,0.8731884057971014,0.8738470856251404
Coffee,2,28,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.852559205500382,0.8571428571428571,0.852559205500382,0.7857142857142857,0.7834821428571429,0.8571428571428571,0.852559205500382
Computers,2,250,250,0.62,0.6199452721191852,0.6,0.5997694672131147,0.576,0.5689374715336066,0.58,0.5798319327731092,0.744,0.7438524590163935,0.768,0.761904761904762,0.78,0.7792051384985951,0.752,0.7507076685537828
Crop,24,7200,16800,0.6741666666666667,0.6744284521136972,0.6807738095238095,0.6802157761766736,0.6842857142857143,0.6818923402573543,0.6933333333333334,0.6895998430318703,0.7554166666666666,0.755354728360743,0.7508928571428571,0.7512398938166611,0.7430357142857142,0.7436906801072979,0.7438095238095238,0.7435168276114672
DistalPhalanxOutlineCorrect,2,600,276,0.7681159420289855,0.7638540796435533,0.782608695652174,0.7786131996658312,0.7789855072463768,0.7774899408985069,0.7753623188405797,0.764988425925926,0.8043478260869565,0.8016645468119229,0.7898550724637681,0.790329516744611,0.8115942028985508,0.8115942028985508,0.7789855072463768,0.7770853044825649
DistalPhalanxOutlineAgeGroup,3,400,139,0.7553956834532374,0.7554254363258773,0.7482014388489209,0.7476338678273682,0.7482014388489209,0.7482346095035086,0.7553956834532374,0.7553956834532374,0.7841726618705036,0.7845326792001512,0.7985611510791367,0.798730844579749,0.762589928057554,0.7633095877008755,0.7913669064748201,0.7907192111812189
DistalPhalanxTW,6,400,139,0.7194244604316546,0.7097175342275813,0.697841726618705,0.6924016123718432,0.6834532374100719,0.6769927243755078,0.697841726618705,0.6907197371630369,0.697841726618705,0.6137371516259823,0.6906474820143885,0.6585945177707238,0.6906474820143885,0.6624308383885944,0.6834532374100719,0.6618092505755486
Earthquakes,2,322,139,0.7553956834532374,0.6883713368288421,0.7194244604316546,0.6850260169223111,0.7410071942446043,0.694041288708164,0.6906474820143885,0.6588672804113008,0.762589928057554,0.74249949885293,0.7841726618705036,0.7250335324960371,0.7769784172661871,0.7028053771980807,0.7913669064748201,0.7303465039021578
ECG5000,5,500,4500,0.9357777777777778,0.9306497070509445,0.938,0.9323953774946595,0.9402222222222222,0.934506571418881,0.9397777777777778,0.9346677157825816,0.9402222222222222,0.9294573226078703,0.9417777777777778,0.932288655958216,0.9404444444444444,0.9289764720149339,0.9426666666666667,0.9314741415802101
ECGFiveDays,2,23,861,0.975609756097561,0.9756089664040355,0.9616724738675958,0.9616442189961415,0.9639953542392566,0.9639640431881278,0.9721254355400697,0.9721154287459832,0.7851335656213705,0.7848288609248565,0.8385598141695703,0.8379589101467639,0.8315911730545877,0.8313810420873334,0.81068524970964,0.8094814898026422
ECG200,2,100,100,0.93,0.9302038615036133,0.93,0.9302038615036133,0.92,0.9204461604461605,0.93,0.9302038615036133,0.89,0.8896517087018233,0.89,0.8888682376369067,0.91,0.9102621076475029,0.9,0.8985739750445632
ElectricDevices,7,8926,7711,0.39579821034885226,0.4015404198911923,0.39048113085202957,0.40264369883588036,0.3834781481001167,0.39992937050615623,0.3817922448450266,0.3951372503193673,0.693814031902477,0.68215403550371,0.708857476332512,0.6904508336211918,0.6905719102580729,0.6758951406910894,0.6865516794190119,0.6758736551330643
EOGHorizontalSignal,12,362,362,0.4889502762430939,0.49442192440227584,0.5027624309392266,0.5102499905426384,0.49171270718232046,0.49990756768496014,0.4861878453038674,0.484671626413432,0.49171270718232046,0.4799660098082601,0.5441988950276243,0.5315675336999456,0.4972375690607735,0.484488156448298,0.5331491712707183,0.5277518650851609
EthanolLevel,4,504,500,0.758,0.7614656353293917,0.738,0.7413061887893537,0.716,0.7193490374928619,0.686,0.684156458134569,0.48,0.4555868657246086,0.484,0.47366667408116775,0.478,0.45577519429391566,0.47,0.4522168231572201
FaceAll,14,560,1690,0.7266272189349112,0.7126241007251546,0.7177514792899409,0.6892522609467322,0.7177514792899409,0.7041135657733646,0.6940828402366864,0.6875597185227098,0.8059171597633136,0.7976123705660807,0.8650887573964497,0.8665501151238683,0.808284023668639,0.7991042998042371,0.8881656804733727,0.8893955552281614
FaceFour,4,24,88,0.9090909090909091,0.909630900196938,0.9090909090909091,0.910710748946043,0.8863636363636364,0.8865089514066494,0.8863636363636364,0.887583125120123,0.8636363636363636,0.8650174511023568,0.6818181818181818,0.6582076926904512,0.8068181818181818,0.8019945443742235,0.8409090909090909,0.8406704652098903
EOGVerticalSignal,12,362,362,0.4613259668508287,0.4339458795890253,0.43922651933701656,0.4237292637040303,0.46685082872928174,0.4514569791793971,0.4530386740331492,0.42670813934344326,0.39779005524861877,0.3463876867661707,0.40331491712707185,0.3531938976882562,0.36464088397790057,0.32668455402457364,0.36464088397790057,0.34981456030580593
FacesUCR,14,200,2050,0.7829268292682927,0.7834728922430299,0.7760975609756098,0.7729653440366937,0.7907317073170732,0.7888836432033282,0.7658536585365854,0.7623311844153361,0.8682926829268293,0.8678568355785933,0.8453658536585366,0.8427600079668705,0.8463414634146341,0.8447505553481025,0.8463414634146341,0.844249295426577
FordA,2,3601,1320,0.8159090909090909,0.8158605233864791,0.8053030303030303,0.8052516646515436,0.8098484848484848,0.8089253151463454,0.8204545454545454,0.8204962840336727,0.9068181818181819,0.9068409185509557,0.9037878787878788,0.9037051269814081,0.8992424242424243,0.8991752594406965,0.9037878787878788,0.9037804156627686
Fish,7,175,175,0.8914285714285715,0.8938672299567441,0.8914285714285715,0.8938934219042262,0.9028571428571428,0.905343035986037,0.8914285714285715,0.8962246995785866,0.7314285714285714,0.7333501940595499,0.76,0.7591517959357775,0.7771428571428571,0.7828570845832423,0.7542857142857143,0.7604448710936161
FordB,2,3636,810,0.7,0.7000068588046475,0.6987654320987654,0.6987433933670493,0.7,0.6986186665932158,0.6975308641975309,0.6974602984739035,0.7728395061728395,0.7719055643815049,0.7765432098765432,0.7740631432446704,0.774074074074074,0.7729560141000066,0.7679012345679013,0.7668714205841909
FreezerSmallTrain,2,28,2850,0.7992982456140351,0.7989417989417991,0.8017543859649123,0.8017455746571193,0.8045614035087719,0.8036038802414828,0.8112280701754386,0.8107449192546217,0.8221052631578948,0.8220389865108273,0.8224561403508772,0.821949686124743,0.8452631578947368,0.8446083991951312,0.8466666666666667,0.8458053979810406
FreezerRegularTrain,2,150,2850,0.9831578947368421,0.9831568910969888,0.9726315789473684,0.9726217500798071,0.9705263157894737,0.9705234706557087,0.9680701754385965,0.9680514488085907,0.9908771929824561,0.990877031245614,0.987719298245614,0.9877192846381733,0.988421052631579,0.9884209827797052,0.9831578947368421,0.9831568910969888
GunPoint,2,50,150,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9866666666666667,0.9866666666666667,0.9933333333333333,0.993333629642799,0.98,0.9799973332148096,0.9733333333333334,0.9733333333333334,0.9666666666666667,0.9666444197256211
GunPointAgeSpan,2,135,316,0.9841772151898734,0.9841764229018152,0.9936708860759493,0.9936711396157453,0.9778481012658228,0.9778487667877915,0.9936708860759493,0.9936711396157453,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.9936708860759493,0.9936708860759493,1.0,1.0
GunPointMaleVersusFemale,2,135,316,1.0,1.0,0.9968354430379747,0.9968349027237305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ham,2,109,105,0.7904761904761904,0.7879671544373092,0.7428571428571429,0.7415935415935415,0.7523809523809524,0.7517492711370263,0.7333333333333333,0.7301400147383934,0.6666666666666666,0.6534484394269994,0.6761904761904762,0.6762492224756375,0.6857142857142857,0.6831910539966375,0.6571428571428571,0.6514285714285714
