dataset,num_classes,num_train_samples,num_test_samples,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
CBF,3,30,900,60,0.99,0.9899773315387964,0.9766666666666667,0.9766441375793172
CBF,3,30,900,60,0.9911111111111112,0.9910977797180682,0.9666666666666667,0.9666677158091511
CBF,3,30,900,60,0.9955555555555555,0.995551808773967,0.9811111111111112,0.9810997697164653
Car,4,60,60,120,0.95,0.9495394930739758,0.8666666666666667,0.8672292982637811
Car,4,60,60,120,0.95,0.9495394930739758,0.8833333333333333,0.8831913580246913
Car,4,60,60,120,0.9166666666666666,0.916358024691358,0.9,0.9007597340930675
Wine,2,57,54,113,0.8148148148148148,0.8106591865357644,0.6666666666666666,0.6666666666666666
Wine,2,57,54,0.7777777777777778,0.7774725274725275,0.6296296296296297,0.625,112,0.7407407407407407,0.7403846153846153,0.6666666666666666,0.6662087912087913
Wine,2,57,54,94,0.7407407407407407,0.7407407407407407,0.6111111111111112,0.6
Wine,2,57,54,92,0.7962962962962963,0.7962264150943397,0.7222222222222222,0.7198201314424074
Wine,2,57,54,86,0.8148148148148148,0.8137931034482759,0.6666666666666666,0.6662087912087913
Wine,2,57,54
Wine,2,57,54
Wine,2,57,54
Wine,2,57,54
Wine,2,57,54,89,0.7407407407407407,0.7403846153846153,0.7037037037037037,0.7020689655172414
Wine,2,57,54,89,0.8518518518518519,0.8500000000000001,0.7592592592592593,0.7585139318885449
Wine,2,57,54,89,0.8888888888888888,0.8882758620689656,0.7777777777777778,0.775
Wine,2,57,54,89,0.8518518518518519,0.8485273492286114,0.7222222222222222,0.7198201314424074
ChlorineConcentration,3,467,3840,0.8322916666666667,0.8286860311755128,0.82265625,0.8190975676938353,635,0.8197916666666667,0.8144120582424164,0.8143229166666667,0.8107520613405664
Adiac,37,390,391,0.7774936061381074,0.7614667790916491,0.7416879795396419,0.7301757892901828,759,0.7800511508951407,0.7725225693200365,0.7493606138107417,0.7313086684586796
