dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1
CBF,3,30,900,0.9044444444444445,0.9038052373954057
CBF,3,30,900,0.8922222222222222,0.8917256064196168
CBF,3,30,900,0.91,0.9101124177242483
CBF,3,30,900,0.8977777777777778,0.8962625570813192
CBF,3,30,900,0.9055555555555556,0.9053397673984726
Car,4,60,60,0.8666666666666667,0.8693765193765194
Car,4,60,60,0.9,0.9
Car,4,60,60,0.8833333333333333,0.8830692761727245
Car,4,60,60,0.8666666666666667,0.8693765193765194
Car,4,60,60,0.9,0.9
ChlorineConcentration,3,467,3840,0.91015625,0.9077136904921139
ChlorineConcentration,3,467,3840,0.8919270833333334,0.8882354026601641
ChlorineConcentration,3,467,3840,0.8846354166666667,0.8858729552225909
ChlorineConcentration,3,467,3840,0.9020833333333333,0.9001386035713398
ChlorineConcentration,3,467,3840,0.8903645833333333,0.8908920800968649
CinCECGTorso,4,40,1380,0.8202898550724638,0.817594094731132
CinCECGTorso,4,40,1380,0.8297101449275363,0.8312080564995217
CinCECGTorso,4,40,1380,0.8144927536231884,0.8140851553535716
CinCECGTorso,4,40,1380,0.827536231884058,0.8278314597819697
CinCECGTorso,4,40,1380,0.8673913043478261,0.8684358529236698
Coffee,2,28,28,1.0,1.0
Coffee,2,28,28,1.0,1.0
Coffee,2,28,28,1.0,1.0
Coffee,2,28,28,1.0,1.0
Coffee,2,28,28,1.0,1.0
Computers,2,250,250,0.604,0.5960832313341493
Computers,2,250,250,0.612,0.6119937919006704
Computers,2,250,250,0.624,0.6237832991803279
Computers,2,250,250,0.62,0.6034992236932168
Computers,2,250,250,0.624,0.6239037193521542
Crop,24,7200,16800,0.6997023809523809,0.7027578362854553
Crop,24,7200,16800,0.7363690476190476,0.7379704091270666
Crop,24,7200,16800,0.700654761904762,0.7027358129264947
DiatomSizeReduction,4,16,306,0.9444444444444444,0.9369190746474026
DiatomSizeReduction,4,16,306,0.9444444444444444,0.9385489128135955
DiatomSizeReduction,4,16,306,0.9640522875816994,0.9621769094812758
DiatomSizeReduction,4,16,306,0.9575163398692811,0.954531749842258
DiatomSizeReduction,4,16,306,0.9477124183006536,0.9413184396403486
DistalPhalanxOutlineCorrect,2,600,276,0.7934782608695652,0.7899334269155397
DistalPhalanxOutlineCorrect,2,600,276,0.7898550724637681,0.7859927596769701
DistalPhalanxOutlineCorrect,2,600,276,0.7971014492753623,0.79385867554569
DistalPhalanxOutlineCorrect,2,600,276,0.782608695652174,0.7791342952275251
DistalPhalanxOutlineCorrect,2,600,276,0.7934782608695652,0.7920807644461456
DistalPhalanxOutlineAgeGroup,3,400,139,0.7769784172661871,0.7758114119391509
DistalPhalanxOutlineAgeGroup,3,400,139,0.7697841726618705,0.7696433423980419
DistalPhalanxOutlineAgeGroup,3,400,139,0.762589928057554,0.7625609890205294
DistalPhalanxOutlineAgeGroup,3,400,139,0.7841726618705036,0.7806039576326568
DistalPhalanxOutlineAgeGroup,3,400,139,0.762589928057554,0.7629371371619884
DistalPhalanxTW,6,400,139,0.7266187050359713,0.7168511871934139
DistalPhalanxTW,6,400,139,0.7122302158273381,0.6967760590810983
DistalPhalanxTW,6,400,139,0.6834532374100719,0.6563149449856738
DistalPhalanxTW,6,400,139,0.7122302158273381,0.6926797184835675
ChlorineConcentration,3,467,3840,0.8838541666666667,0.8859138154204368
DistalPhalanxTW,6,400,139,0.7050359712230215,0.6994840773379677
Earthquakes,2,322,139,0.7553956834532374,0.6967153549887363
Earthquakes,2,322,139,0.7553956834532374,0.6570710373849681
Earthquakes,2,322,139,0.7769784172661871,0.7028053771980807
Earthquakes,2,322,139,0.762589928057554,0.701692658737928
Earthquakes,2,322,139,0.7553956834532374,0.6570710373849681ECG5000,5,500,4500,0.9404444444444444,0.9334602580066887
ECG5000,5,500,4500,0.9406666666666667,0.9351548865495036
ECG5000,5,500,4500,0.9406666666666667,0.9348786450608187
ECG5000,5,500,4500,0.9395555555555556,0.9341471034435707
ECGFiveDays,2,23,861,0.967479674796748,0.9674577222513021
ECGFiveDays,2,23,861,0.9651567944250871,0.9651472023778648
ECGFiveDays,2,23,861,0.959349593495935,0.9593476193899539
ECGFiveDays,2,23,861,0.9721254355400697,0.9721249090883726
ECGFiveDays,2,23,861,0.9651567944250871,0.9651551021858654
ECG200,2,100,100,0.92,0.9194725274725275
ECG200,2,100,100,0.92,0.92
ECG200,2,100,100,0.93,0.9297783600829785
ECG200,2,100,100,0.92,0.9194725274725275
ECG200,2,100,100,0.93,0.9297783600829785
ElectricDevices,7,8926,7711,0.4376864219945532,0.42687664296455435
ElectricDevices,7,8926,7711,0.44559719880689924,0.44466212075201705
ElectricDevices,7,8926,7711,0.4267928932693555,0.4247811595277932
ElectricDevices,7,8926,7711,0.43262871222928284,0.4257101192171565
ElectricDevices,7,8926,7711,0.5263908701854494,0.5281180369323186
EOGHorizontalSignal,12,362,362,0.4696132596685083,0.48566075309691253
EOGHorizontalSignal,12,362,362,0.47790055248618785,0.48439080830842174
EOGHorizontalSignal,12,362,362,0.5220994475138122,0.5252353170161586
EOGHorizontalSignal,12,362,362,0.5220994475138122,0.5208075362606686
EOGHorizontalSignal,12,362,362,0.4972375690607735,0.4950388291804486
EthanolLevel,4,504,500,0.742,0.7450041417579789
EthanolLevel,4,504,500,0.732,0.7327496154154958
EthanolLevel,4,504,500,0.74,0.7402538446225053
EthanolLevel,4,504,500,0.738,0.7387376769993034
EthanolLevel,4,504,500,0.734,0.7335964667646788
FaceAll,14,560,1690,0.6928994082840236,0.6916057982236871
FaceAll,14,560,1690,0.8337278106508875,0.8351952319501379
FaceAll,14,560,1690,0.7431952662721893,0.7280962292074675
FaceAll,14,560,1690,0.7810650887573964,0.7951402806872748
FaceAll,14,560,1690,0.7917159763313609,0.7999282423255825
FaceFour,4,24,88,0.8863636363636364,0.8886397748333761
FaceFour,4,24,88,0.8977272727272727,0.8996296296296297
FaceFour,4,24,88,0.8977272727272727,0.8996296296296297
FaceFour,4,24,88,0.9090909090909091,0.9105953474135291
FaceFour,4,24,88,0.875,0.8775990400458485
EOGVerticalSignal,12,362,362,0.5,0.48430846211670564
EOGVerticalSignal,12,362,362,0.5,0.4896650476776415
EOGVerticalSignal,12,362,362,0.48342541436464087,0.46333999376478985
EOGVerticalSignal,12,362,362,0.46685082872928174,0.4433142778018055
EOGVerticalSignal,12,362,362,0.48066298342541436,0.45107294664956593
FiftyWords,50,450,455,0.6131868131868132,0.6028574380854564
FiftyWords,50,450,455,0.6,0.591114420452479
FiftyWords,50,450,455,0.6021978021978022,0.6100275922750614
FiftyWords,50,450,455,0.6087912087912087,0.6232680259405983
FiftyWords,50,450,455,0.6021978021978022,0.6171733228612639
FacesUCR,14,200,2050,0.744390243902439,0.7540755555021742
FacesUCR,14,200,2050,0.7873170731707317,0.7877486852276854
FacesUCR,14,200,2050,0.7580487804878049,0.7680153081641445
FacesUCR,14,200,2050,0.7551219512195122,0.7813295789264466
FacesUCR,14,200,2050,0.7726829268292683,0.7723165388188461
FordA,2,3601,1320,0.843939393939394,0.8437453530664737
FordA,2,3601,1320,0.8257575757575758,0.825616442024159
FordA,2,3601,1320,0.8583333333333333,0.8581967948876554
FordA,2,3601,1320,0.8333333333333334,0.8333249064617252
FordA,2,3601,1320,0.8401515151515152,0.8401299287889036
Fish,7,175,175,0.8857142857142857,0.8877994374102963
Fish,7,175,175,0.8857142857142857,0.885984940984941
Fish,7,175,175,0.8914285714285715,0.8932402662240913
Fish,7,175,175,0.9028571428571428,0.9044047511790192
Fish,7,175,175,0.9085714285714286,0.9108653546888841
FordB,2,3636,810,0.7049382716049383,0.7041111488151336
FordB,2,3636,810,0.7222222222222222,0.7217669886139837
FordB,2,3636,810,0.7,0.7000032007364744
FordB,2,3636,810,0.7209876543209877,0.7209927577074683
FordB,2,3636,810,0.7111111111111111,0.7110547456406524
Fungi,18,18,186,0.3763440860215054,0.2726450439537248
Fungi,18,18,186,0.42473118279569894,0.33114341089796906
Fungi,18,18,186,0.3978494623655914,0.3039336592464186
Fungi,18,18,186,0.44623655913978494,0.3531392358959305
Fungi,18,18,186,0.43010752688172044,0.3507757666818388
