dataset,num_classes,num_train_samples,num_test_samples,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
ACSF1,10,100,100,0.95,0.9493984962406015,0.94,0.9387050960735173,197,0.96,0.9593400167084377,0.91,0.9105969469127362
ACSF1,10,100,100,0.96,0.9599248120300753,0.86,0.857212419951685,199,0.94,0.9404010025062657,0.86,0.8586533982013858
ACSF1,10,100,100,0.96,0.9593984962406015,0.92,0.9175943870371115,197,0.95,0.9499248120300752,0.84,0.8414854784018871
ACSF1,10,100,100,0.95,0.9492215386952229,0.93,0.9286367433735855,196,0.95,0.9505321274199993,0.71,0.6849875124875127
ACSF1,10,100,100,0.95,0.9493984962406016,0.92,0.920254513288569,198,0.94,0.9397478544846964,0.74,0.7054997617591832
ACSF1,10,100,100,0.95,0.9493984962406015,0.76,0.7496194496937529,197,0.94,0.9391379965064175,0.9,0.8978248651932862
ACSF1,10,100,100,0.95,0.9497478544846966,0.88,0.8760507989340941,198,0.94,0.9393400167084377,0.89,0.8881897926634769
ACSF1,10,100,100,0.95,0.9493734335839599,0.9,0.9008203200308463,198,0.94,0.9416181758744687,0.85,0.8504758272492826
ACSF1,10,100,100,0.96,0.9593984962406015,0.89,0.8885182653603707,198,0.94,0.9405321274199993,0.78,0.772171165667464
ACSF1,10,100,100,0.96,0.9599498746867168,0.92,0.9181286549707601,194,0.95,0.9493400167084377,0.88,0.8759525708209918
Adiac,37,390,391,0.8670076726342711,0.8652876302650518,0.7391304347826086,0.7242189435823928,433,0.8670076726342711,0.8652163679755073,0.7800511508951407,0.7792942851511884
Adiac,37,390,391,0.8618925831202046,0.8567717004990114,0.710997442455243,0.6877425985876482,437,0.8746803069053708,0.8742724473592338,0.8107416879795396,0.8071200494421571
Adiac,37,390,391,0.8618925831202046,0.8598242391838902,0.639386189258312,0.6322430302043399,437,0.8618925831202046,0.8572687452758717,0.8132992327365729,0.8030478424300065
Adiac,37,390,391,0.8593350383631714,0.8574910405515581,0.7877237851662404,0.7697112107442597,433,0.8542199488491049,0.8501560396072281,0.7237851662404092,0.6990572045013623
Adiac,37,390,391,0.8618925831202046,0.8631427435713233,0.5831202046035806,0.5801595924867352,427,0.8542199488491049,0.8515864284514718,0.6214833759590793,0.5719440021019285
Adiac,37,390,391,0.8491048593350383,0.8415984439165543,0.731457800511509,0.7293433181730224,435,0.8593350383631714,0.8529506776134302,0.782608695652174,0.7694884360152869
Adiac,37,390,391,0.8593350383631714,0.8517188537039133,0.7749360613810742,0.76772646179048,439,0.8695652173913043,0.8708497343743671,0.7084398976982097,0.6888321202159017
Adiac,37,390,391,0.8567774936061381,0.8538283356248604,0.782608695652174,0.7655709188000631,435,0.8670076726342711,0.8619725517527318,0.7928388746803069,0.7785780445801801
Adiac,37,390,391,0.8567774936061381,0.85383620178039,0.3171355498721228,0.3193159419635947,426,0.8618925831202046,0.8615374848430597,0.6214833759590793,0.6320601373217746
Adiac,37,390,391,0.8670076726342711,0.8596093884001673,0.639386189258312,0.6019361209139468,435,0.8670076726342711,0.8665532820237366,0.8081841432225064,0.792606522648367
BeetleFly,2,20,20,1.0,1.0,0.95,0.949874686716792,40,1.0,1.0,0.75,0.7442455242966752
BeetleFly,2,20,20,1.0,1.0,1.0,1.0,40,0.95,0.949874686716792,0.8,0.7979797979797979
BeetleFly,2,20,20,1.0,1.0,0.75,0.7333333333333333,40,0.95,0.949874686716792,0.75,0.7333333333333333
BeetleFly,2,20,20,1.0,1.0,0.9,0.9,40,1.0,1.0,0.95,0.949874686716792
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,40,0.95,0.949874686716792,0.75,0.7493734335839599
BeetleFly,2,20,20,1.0,1.0,0.8,0.7979797979797979,40,1.0,1.0,0.7,0.696969696969697
BeetleFly,2,20,20,1.0,1.0,0.85,0.849624060150376,40,1.0,1.0,0.85,0.849624060150376
BeetleFly,2,20,20,1.0,1.0,0.75,0.7442455242966752,40,0.95,0.949874686716792,0.8,0.7916666666666667
BeetleFly,2,20,20,1.0,1.0,0.65,0.6011396011396011,40,0.95,0.949874686716792,0.75,0.7493734335839599
BeetleFly,2,20,20,1.0,1.0,0.8,0.7979797979797979,40,0.95,0.949874686716792,0.75,0.7493734335839599
ArrowHead,3,36,175,0.88,0.8791353678078907,0.8228571428571428,0.8216550604632097,62,0.8514285714285714,0.851183436010814,0.7542857142857143,0.7526945498199279
ArrowHead,3,36,175,0.9028571428571428,0.9023008108506562,0.8114285714285714,0.8119902027317076,66,0.88,0.8797777353932228,0.7257142857142858,0.7230156943893405
