dataset,num_classes,num_train_samples,num_test_samples,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
ACSF1,10,100,100,0.8499999642372131,0.8502821486406087,0.7400000095367432,0.7408681627969554,169,0.8499999642372131,0.848111391009493,0.8100000023841858,0.810317565206514
ACSF1,10,100,100,0.8399999737739563,0.8312516028763167,0.8100000023841858,0.8038530913530912,158,0.8499999642372131,0.85,0.8299999833106995,0.8276813245234298
ACSF1,10,100,100,0.8499999642372131,0.8432598675161604,0.7999999523162842,0.7904800538896649,163,0.8399999737739563,0.8365743905217589,0.8100000023841858,0.8065121136173766
ACSF1,10,100,100,0.7999999523162842,0.8043290109331299,0.6499999761581421,0.660020595159914,163,0.8299999833106995,0.8250405313640607,0.7699999809265137,0.7666427432216905
ACSF1,10,100,100,0.7799999713897705,0.7750443506886339,0.7599999904632568,0.7559063541822162,166,0.8299999833106995,0.8276205889054186,0.8100000023841858,0.8057474335688093
ACSF1,10,100,100,0.8299999833106995,0.8243777262655982,0.75,0.7448743069795701,159,0.8799999952316284,0.8808241191213326,0.8499999642372131,0.8478932178932179
ACSF1,10,100,100,0.7999999523162842,0.7937839285529256,0.7400000095367432,0.7394903962511072,153,0.8399999737739563,0.8376562618667882,0.75,0.7455396959421727
ACSF1,10,100,100,0.7899999618530273,0.7825824662666768,0.699999988079071,0.6981874770110064,160,0.8399999737739563,0.8379065618502284,0.7899999618530273,0.7868075715134539
ACSF1,10,100,100,0.7899999618530273,0.7871858334901813,0.699999988079071,0.7096278042008592,165,0.8899999856948853,0.8894248136811066,0.8299999833106995,0.8292617908407383
ACSF1,10,100,100,0.7999999523162842,0.7994688644688646,0.7599999904632568,0.7615221766537555,161,0.8700000047683716,0.8677334640950201,0.7400000095367432,0.74740352217442
Adiac,37,390,391,0.7749360799789429,0.7708330381554481,0.7749360799789429,0.7702433826981546,474,0.7442455291748047,0.7375565295619924,0.7340153455734253,0.7253505758118932
Adiac,37,390,391,0.7442455291748047,0.7278434428740347,0.7442455291748047,0.7278434428740347,466,0.7314577698707581,0.7208541853379865,0.7237851619720459,0.7139702819263744
Adiac,37,390,391,0.7442455291748047,0.7404139418752927,0.7365728616714478,0.7313051211536896,461,0.7416879534721375,0.7376118433769514,0.7289002537727356,0.7206815336554304
Adiac,37,390,391,0.7749360799789429,0.7699038592219347,0.7672634124755859,0.7609163153295164,465,0.7289002537727356,0.7179751053261193,0.7289002537727356,0.7204129246313036
Adiac,37,390,391,0.7595908045768738,0.7561736976138369,0.7544757127761841,0.7502615343164286,453,0.7595908045768738,0.7611624753723014,0.7544757127761841,0.754710536502656
Adiac,37,390,391,0.7519181370735168,0.7537117614779819,0.7493606209754944,0.7509550152992275,468,0.7672634124755859,0.7649504916978737,0.7570332288742065,0.7560351256269421
Adiac,37,390,391,0.739130437374115,0.7306113011953606,0.7340153455734253,0.7261112601219922,467,0.7365728616714478,0.7275992124133076,0.7289002537727356,0.7262707540253528
Adiac,37,390,391,0.7544757127761841,0.7534720585899022,0.7493606209754944,0.7463594356015327,460,0.7519181370735168,0.7400527265111372,0.7468030452728271,0.7361434026792739
