dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,execution_time
Adiac,37,390,391,0.6803069114685059,0.659293200260339,0.7519181585677749,0.7487314094169271,0.7161125540733337,0.691146208429443,0.7544757033248082,0.7391783084286161,0.6905370950698853,0.6662254477713345,0.7621483375959079,0.7543016723428553,0.687979519367218,0.6644649224359446,0.7698209718670077,0.7588171587707229,0.6905370950698853,0.6614031828896919,0.7595907928388747,0.7415977527783104,401.3910210132599
ArrowHead,3,36,175,0.8399999737739563,0.8378836849425085,0.8285714285714286,0.828140125167617,0.800000011920929,0.7995718305315829,0.7942857142857143,0.7905477175154595,0.7885714173316956,0.7894440274422486,0.8171428571428572,0.8196754416888706,0.7599999904632568,0.7624649859943977,0.8057142857142857,0.8070163879505292,0.7828571200370789,0.7834083851618554,0.7542857142857143,0.7566878604963111,82.55772876739502
BME,3,30,150,0.9666666984558105,0.9667946386475382,0.6533333333333333,0.639562908496732,0.9600000381469727,0.9601200480192077,0.7,0.6948601480588216,0.9800000190734863,0.9799319931993199,0.7133333333333334,0.7091181587046701,0.9733333587646484,0.9734587168200614,0.68,0.674107388038298,0.9733333587646484,0.9731919434440442,0.7133333333333334,0.7053952392213457,83.5611801147461
Beef,5,30,30,0.9000000357627869,0.8978621378621379,0.7333333333333333,0.7131468531468532,0.9000000357627869,0.9014985014985015,0.8,0.8011188811188812,0.9000000357627869,0.8958974358974359,0.9,0.8967365967365967,0.9000000357627869,0.8956643356643357,0.8666666666666667,0.8736363636363635,0.9000000357627869,0.8956643356643357,0.9,0.9017316017316016,118.5426275730133
stack expects a non-empty TensorList
stack expects a non-empty TensorList
CBF,3,30,900,0.9100000262260437,0.9094804432870832,0.9777777777777777,0.9776405501531531,0.8844444751739502,0.8839721670145183,0.9288888888888889,0.9284490048257057,0.8911111354827881,0.8907652136248349,0.9344444444444444,0.9348938779616356,0.8711111545562744,0.8712264254747915,0.8833333333333333,0.8838634671448601,0.8722222447395325,0.8720614179962283,0.8566666666666667,0.8571933221846194,55.58966636657715
Car,4,60,60,0.8666667342185974,0.8691951566951568,0.6166666666666667,0.5759130290594039,0.8666667342185974,0.8685681783873542,0.6333333333333333,0.6036931818181818,0.8666667342185974,0.8716914597132384,0.65,0.5783606286186932,0.9000000357627869,0.8973072261778519,0.65,0.5789169000933706,0.9166666865348816,0.9178835978835979,0.6666666666666666,0.5860025107604017,139.08179378509521
ChlorineConcentration,3,467,3840,0.9127604365348816,0.8993053627322891,0.7729166666666667,0.7560454392084549,0.8986979722976685,0.8881912320187962,0.7684895833333333,0.7576953675086002,0.8992187976837158,0.8864086447251064,0.7796875,0.7696792936475636,0.87786465883255,0.8644215874941805,0.7791666666666667,0.7693203358981262,0.8643229603767395,0.8469437000322647,0.7778645833333333,0.7749179048775395,587.3818905353546
CinCECGTorso,4,40,1380,0.8304347991943359,0.8329322648922217,0.8384057971014492,0.8381511502550603,0.7072464227676392,0.6991333273892593,0.8898550724637682,0.88945561778473,0.7137681245803833,0.713025771597985,0.8463768115942029,0.8471397876477664,0.6731884479522705,0.6686012720363808,0.8898550724637682,0.8899141063510955,0.6862319111824036,0.6799004916171533,0.8840579710144928,0.8831916899297894,680.9746966362
